,start,end,text
0,0.0,9.0," You know what's funny? When there's not that many changes, it really puts a magnifying glass on the few changes that there actually are."
1,10.0,15.0, Have you ever listened to a car reviewer describe the latest generation Porsche 911?
2,15.0,23.0, Like this is a car that's looked more or less the same for the past 50 years with slight evolutions with each new generation.
3,23.0,29.0," And literally every time you watch or read a review, they always say every single time, oh, it's so refined."
4,29.0,34.0," Oh, this is an engineering masterpiece that's been perfected over generations."
5,34.0,37.0, It's a formula that's been developed in the same direction for years.
6,37.0,44.0," I actually, as a kid, I used to actively dislike Porsches because I just, I knew they were expensive, but I thought they're also boring."
7,44.0,52.0, They all look like the same thing. Why would you get one of those when you could get a way more exciting Ferrari or McLaren instead?
8,52.0,59.0," But as I've gotten older, I can appreciate the Porsche formula a little more."
9,59.0,67.0," I don't love it or anything. I wouldn't say I love it, but I can appreciate it more. Does that make sense? I hope that makes sense."
10,82.0,108.0, This is the iPhone 15 Pro. Not a lot of changes.
11,108.0,113.0, I think people got to get this thought out of their head that you've got to upgrade every year to the newest phone.
12,113.0,118.0," I realize most of us already know this, but for some reason people are still stuck on this thing where they say,"
13,118.0,123.0, last year's phone is barely different from this year's phone. It's not worth upgrading.
14,123.0,129.0, But that's not new. The Zenfone 10 I just reviewed is just a refinement of the Zenfone 9.
15,129.0,135.0, The bleeding edge ROG phone has looked the same for three years now. The Pixel is finding its stride with design.
16,135.0,141.0," What we're really looking for is for them to fix anything that's wrong or bad and then just find ways,"
17,141.0,147.0," clever ways, good, interesting ways to just get a little bit better every year so that over a long time,"
18,147.0,153.0," over a bunch of improvements, it adds up to a bigger, more significant change."
19,153.0,157.0, So that's what's happening here with this iPhone 15 Pro. I've been using it for about two weeks now.
20,157.0,163.0," They've made some improvements, but now we're starting to also see some possible problems,"
21,163.0,167.0, some new issues that have risen up. So let's talk about it.
22,167.0,171.0, So there's basically four new features they've added here. I'm going to go over some of the more fundamental
23,171.0,178.0, and existential stuff in the regular iPhone 15 review. So definitely make sure you're subscribed to see that when it comes out.
24,178.0,184.0," But for the Pro, it's time to deep dive on the stuff that's unique to this one, the professional stuff,"
25,184.0,190.0," that being the build, the chip, the cameras, and the action button."
26,190.0,193.0, So easiest place to start is the way they've built this phone.
27,193.0,197.0, So Apple made an update to the build and the materials of the iPhone this year.
28,197.0,203.0," They've softened the corners a little bit. It's clearly still a boxy design, but you know, now instead of a completely flat glass at the front,"
29,203.0,209.0," there's this gentle little curve just at the very edges. I think that'll maybe make screen protectors slightly more intricate,"
30,209.0,213.0, but I think it has a nice look to it. And then the screen sizes are exactly the same.
31,213.0,216.0, But now the bezels are actually a tiny bit slimmer all the way around.
32,216.0,220.0," So technically the phone is like one millimeter smaller diagonally,"
33,220.0,227.0, and the rails have famously switched from that shiny stainless steel to a lighter coated and brushed titanium.
34,227.0,231.0," The result? Very slightly better, I think."
35,231.0,238.0," It's kind of funny. I've always associated a heavy phone with like expensive feeling, you know,"
36,238.0,242.0," like the ceramic phones are like extra heavy. They feel like substance,"
37,242.0,244.0, but I understand why people want it to be lighter.
38,244.0,247.0, And so this phone is actually noticeably lighter than the previous pro.
39,247.0,250.0," It's 10% on paper, but it feels like more than 10%."
40,250.0,253.0, And then there's a new set of colors too. So I'm sticking with it.
41,253.0,259.0, This new natural titanium is the best color. This is the first year I am not ordering a dark or black iPhone.
