,start,end,text
0,0.0,5.36, Learn how to get chat GPT and other LLMs to give you the perfect responses by mastering
1,5.36,7.6000000000000005, prompt engineering strategies.
2,7.6000000000000005,12.48, Anya Kubo is one of our most popular instructors and in this course she will teach you the
3,12.48,17.52, latest techniques to maximize your productivity with large language models.
4,17.52,22.04, Hi everyone and welcome to this course on prompt engineering.
5,22.04,26.16, My name is Anya Kubo and I'm a software developer as well as course cruiser here on FreeCoCamp
6,26.16,28.46, as well as on my own channel.
7,28.46,32.8, This is going to be a unique course for me as there is going to be a lot less coding
8,32.8,37.8, going on but a lot more understanding about the topic of prompt engineering and why some
9,37.8,44.120000000000005," companies are paying up to 335,000 US dollars a year according to Bloomberg for people in"
10,44.120000000000005,48.96, this profession and no coding background is necessarily required.
11,48.96,50.44, So what are we waiting for?
12,50.44,51.8, Let's do it!
13,51.8,58.32," In this course we will learn what prompt engineering is exactly, get a brief introduction to AI,"
14,58.34,64.82," A look at large language models or LLMs such as chat GPT, a look at text to image models"
15,64.82,69.74," such as Mijani, a look at emerging models, this would include text to speech, text to"
16,69.74,75.86," audio or speech to text, as well as prompt engineering mindset, best practices, zero"
17,75.86,81.7," shot prompting, few shot prompting, chain of thought, AI hallucinations, vexters, text"
18,81.7,86.42, embeddings and also end with a quick intro to chat GPT.
19,86.44,92.2, So let's start off with looking at what exactly prompt engineering is in the first place.
20,92.2,96.76, Prompt engineering in a nutshell is a career that came about off the back of the rise of
21,96.76,98.6, artificial intelligence.
22,98.6,103.56," It involves human writing, refining and optimizing prompts in a structured way."
23,103.56,107.88, This is done with the intention of perfecting the interaction between humans and AI to the
24,107.88,110.08, highest degree possible.
25,110.08,114.92," Not only that, however, a prompt engineer is then also required to continuously monitor"
26,114.92,119.66," those prompts, ensure their effectiveness with time as AI progresses."
27,119.66,123.98, Maintaining an up to date prompt library will be a requirement that is placed onto the prompt
28,123.98,128.46, engineer as well as reporting on findings and in general being a thought leader in this
29,128.46,129.46, space.
30,129.46,133.66, But why do we need it and how did it come about from AI?
31,133.66,137.98," Before moving on, let's actually make sure we are on the same page about what exactly"
32,137.98,139.94, AI is.
33,139.94,145.72, Artificial intelligence is the simulation of human intelligence processes by machines.
34,145.72,151.96," I say simulation as artificial intelligence is not sentient, at least not yet anyways,"
35,151.96,156.28, meaning it cannot think for itself as much as it may seem it does.
36,156.28,161.88," Often, and this is certainly the case with tools such as chat GPT for example, when we"
37,161.88,167.0," say AI, we are simply referring to a term called machine learning."
38,167.02,171.5, Machine learning works by using large amounts of training data that is then analyzed for
39,171.5,173.98, correlations and patterns.
40,173.98,178.74, These patterns are then used to predict outcomes based on the training data provided.
41,178.74,184.14," So for example, here we are feeding data saying that if a paragraph looks like this, with"
42,184.14,189.5," this type of title, then it should be categorized as international finance."
43,189.5,195.02, The second paragraph should be put in the category of annual reports and so on.
44,195.02,199.44," With some code, we should be able to train our AI model to correctly guess what future"
45,199.44,201.36, paragraphs are about.
46,201.36,202.72, And that's it.
47,202.72,207.64000000000001," Of course, that is a super basic example and we would need way more data than these"
48,207.64000000000001,210.72," five paragraphs right here, but you get the idea."
49,210.72,214.08, If you want to build your own AI model and understand the concept of machine learning
50,214.08,219.72," better as a total beginner, please check out my video on it on my channel CodeWithAniaCubo."
51,219.72,224.36," As of now, rapidly improving genoity of AI techniques can create realistic text responses"
52,224.58,230.22000000000003," and even images, music and other media thanks to the huge amounts of training data and talented"
53,230.22000000000003,233.38000000000002, developers working on it today.
54,233.38000000000002,236.46, Why is prompt engineering useful?
55,236.46,241.3," With the quick and exponential growing rise of AI, even the architects of it themselves"
56,241.3,244.34, struggle to control it and its outputs.
57,244.34,248.02," This might be a bit hard to understand, but think of it this way."
58,248.02,253.78000000000003," If you were to ask an AI chatbot what is 4 plus 4, you would expect it to say 8 right?"
59,254.2,256.6, The result of 8 is pretty indisputable.
60,256.6,261.6," However, imagine you are a young student trying to learn the English language."
61,261.6,267.32, I'm going to show you just how different responses can be based on the prompts you feed and in
62,267.32,269.8, turn your learning experience.
63,269.8,274.72," For this example, I'm going to be using chat GPT's GPT4 model."
64,274.72,276.96, So let's start with the basics.
65,276.96,283.16," If you were to type correct my paragraph and then paste it a badly written paragraph,"
66,283.16,285.90000000000003," so just like this, today was great in the world for me."
67,285.90000000000003,287.74, I went to Disneyland with my mom.
68,287.74,290.42, It could have been better though if it wasn't raining.
69,290.42,291.42, Great.
70,291.42,295.74," The young English learner has a better sentence, but it kind of stops there and the learner"
71,295.74,298.1, is just left to their own devices.
72,298.1,302.22," And honestly, the sentence really isn't that great anyway."
73,302.22,307.34000000000003, What if the learner could get the best sentence is possible from a teacher who understands
74,307.34000000000003,310.18, their interests to keep them engaged?
75,310.18,314.24," With the correct prompts, we can actually create that with AI."
76,314.24,317.8, So let's give it a go and let's write a prompt to do this.
77,317.8,319.96, So here's the prompt I'm going to give it.
78,319.96,324.32," I'm going to write, I want you to act as a spoken English teacher."
79,324.32,328.8, I will speak to you in English and you'll reply to me in English to practice my spoken
80,328.8,330.04, English.
81,330.04,335.08," I want you to keep my reply neat, limiting the reply to 100 words."
82,335.08,340.02, I also want you to strictly correct my grammar mistakes and typos.
83,340.02,344.09999999999997, And I want you to ask me a question in your reply.
84,344.09999999999997,346.06, Now let's start practicing.
85,346.06,348.09999999999997, You can ask me a question first.
86,348.09999999999997,353.09999999999997," Remember, I want you to strictly correct my grammar mistakes and typos."
87,353.09999999999997,354.58, So there's my prompt.
88,354.58,359.18," You can also go a step further and ask it to correct your factual errors too, which"
89,359.18,363.82, I think would be an excellent addition to the prompt that will benefit the young learner.
90,363.82,364.82, Okay.
91,364.82,366.56, So go ahead and add that to the prompt.
92,366.56,367.56, Okay.
93,367.56,369.71999999999997, And let us do its thing.
94,369.71999999999997,370.71999999999997, And great.
95,370.71999999999997,373.18, So now this is way more interactive.
96,373.18,377.98," As you will see, it's asking you a question and telling you what to do and will provide"
97,377.98,379.94, you with corrections if needed.
98,379.94,383.44," So in a way, you're communicating with the AI."
99,383.44,386.24, It's giving you suggestions and you're learning along the way.
100,386.24,391.0, It's a completely different experience thanks to the prompt that we wrote.
101,391.0,392.0," Pretty cool, right?"
